name,rmse1,rmse_detrend1,rmse_detrend_Tissue1,rmse_detrend_Blood1,rmse_detrend_DGM1,rmse2,rmse_detrend2,rmse_detrend_Tissue2,rmse_detrend_Blood2,rmse_detrend_DGM2,algo_type
'WCMJZ1_Sim1_Step1.nii',47.65728,52.731434,71.994148,64.894432,34.970936,35.831329,38.375278,39.540802,66.32415,28.781818,Deep Learning
'WCMJZ1_Sim1_Step1_1.nii',47.657288,52.731453,71.994164,87.657799,34.970959,35.831329,38.375278,39.540802,84.304543,28.781818,Deep Learning
'wcmps1_Sim1_Step1.nii',49.32056,51.156796,67.772186,89.310966,25.221851,40.15377,43.131981,44.013416,102.62057,27.50923,Spatial-domain iterative reconstruction
'wcmrj11111_Sim1_Step1.nii',46.575123,46.496727,61.370605,81.757271,23.816563,34.475246,35.474117,36.283535,75.389412,26.076382,Spatial-domain iterative reconstruction
'wgJwSci4bs_Sim1_Step1.nii',43.79274,45.684406,61.654163,72.792229,22.291779,35.784863,37.967815,39.003338,76.329147,24.908951,Spatial-domain iterative reconstruction
'WgpBiTiZw9_Sim1_Step1.nii',41.245209,42.948921,58.437458,72.863937,21.231169,34.113827,35.94492,37.448196,80.652222,22.486547,Spatial-domain iterative reconstruction
'WmFM7vozZq_Sim1_Step1.nii',55.923996,65.604141,92.989212,111.50998,30.994793,57.567539,65.210014,67.71418,127.68388,40.10088,Deep Learning
'x9BSs71ISS_Sim1_Step1.nii',77.189987,101.42201,143.36781,149.51358,41.439697,64.557579,84.089973,87.706795,164.43073,47.134319,Spatial-domain iterative reconstruction
'x9BSs71ISS_Sim1_Step1_1.nii',77.185646,101.41749,143.34276,149.52351,41.449013,64.560875,84.09684,87.717079,164.4528,47.131638,Spatial-domain iterative reconstruction
'x9BSs71ISS_Sim1_Step1_2.nii',78.249176,106.12337,150.54155,150.82779,46.416306,66.921883,89.85025,94.139709,165.69841,52.987484,Spatial-domain iterative reconstruction
'x9BSs71ISS_Sim1_Step1_3.nii',77.962997,105.10878,149.82208,150.07228,44.66803,65.029518,85.367256,89.311493,163.59956,49.624653,Spatial-domain iterative reconstruction
'xb9nMRY4gj_Sim1_Step1.nii',74.082359,80.313271,99.348473,145.0593,36.223995,53.534206,59.321339,58.943851,143.34073,39.294407,Spatial-domain iterative reconstruction
'XpRqBm7C3f_Sim1_Step1.nii',86.436668,94.781876,121.82487,137.87054,45.372383,77.6465,86.553711,92.411873,161.92114,54.442326,Spatial-domain iterative reconstruction
'YTQ7SppYwF_Sim1_Step1.nii',70.925095,81.720108,126.76303,115.36455,32.324833,71.903084,90.021744,102.08759,154.59889,46.547428,Deep Learning
'YTQ7SppYwF_Sim1_Step1_1.nii',68.575562,78.281975,117.09091,113.54707,31.190796,68.741066,86.160179,96.894226,154.79514,44.071049,Deep Learning
'YwJFmu4fpT_Sim1_Step1.nii',56.951637,67.116478,99.284355,101.39697,26.440655,55.686577,63.358364,68.172417,118.22937,31.27733,Deep Learning
'ZCxt9nZeKM_Sim1_Step1.nii',81.324295,92.248398,141.24043,123.17531,37.281654,68.052834,83.134941,92.34761,153.12701,46.54258,Deep Learning
'zSKb53P9XH_Sim1_Step1.nii',112.98055,93.470421,124.11672,143.50873,50.911697,91.478897,81.021584,87.432877,160.69989,57.869408,Closed-form direct solution
